logOut_medianTime,logOut_meanTime,logOut_stdTime,apiRequest_medianTime,apiRequest_meanTime,apiRequest_stdTime,totalTime,mode,actions,logIn_threads,logOut_threads,apiRequest_threads,repeat,logIn_medianTime,logIn_meanTime,logIn_stdTime
1785.5,5181.466,26241.606259201624,2486.5,4424.184,17675.863102405325,4802825,lazy,10,0,50,50,8,,,
,,,6355.5,7725.24,7326.624019932981,23731850,lazy,10,50,0,50,8,9106.0,39738.46,152375.22965892986
8222.0,14389.074,40969.04762690286,,,,26315693,lazy,10,50,50,0,8,7066.5,38242.312,273673.6375681337
1886.5,4895.144,16765.68392933915,1418.0,3096.504,11952.367492649424,3995824,lazy,10,0,50,50,9,,,
,,,19944.0,44201.81,209819.27971375055,39362163,lazy,10,50,0,50,9,8058.0,34522.516,159325.56547886488
9411.5,14319.174,46646.44797827272,,,,74609407,lazy,10,50,50,0,9,17332.0,134899.64,603827.6668003724
1963.0,32220.116,155967.1859815794,1147.0,1559.082,1391.8170168858355,16889599,optimistic,10,0,50,50,0,,,
,,,17010.0,30337.242,45351.209022594514,47605816,optimistic,10,50,0,50,0,22870.5,64874.39,232389.6347809108
7100.0,34038.258,139501.3379549669,,,,49085748,optimistic,10,50,50,0,0,7280.5,64133.238,199928.69116647675
1730.5,6081.294,46336.21955940816,1429.0,1663.166,1435.5026751297294,3872230,optimistic,10,0,50,50,1,,,
,,,8157.0,23545.872,67285.82682650983,18575045,optimistic,10,50,0,50,1,6243.5,13604.218,35092.84824722384
9286.5,24895.312,98618.62061110533,,,,40361841,optimistic,10,50,50,0,1,15697.5,55828.37,189634.92177671185
2158.0,5082.408,14228.784671925288,1486.0,4126.048,18140.019969301833,4604228,optimistic,10,0,50,50,2,,,
,,,21421.0,73951.668,359800.2036919703,59643320,optimistic,10,50,0,50,2,17650.5,45334.972,119631.94195722198
8471.5,16884.742,75837.1218804198,,,,32242569,optimistic,10,50,50,0,2,11580.5,47600.396,136380.02058244206
1354.0,2634.206,19373.568231267753,2931.0,6611.386,41076.43416520549,4622796,optimistic,10,0,50,50,3,,,
,,,10218.0,42620.452,182939.00705639916,84420997,optimistic,10,50,0,50,3,13882.5,126221.542,547192.6529299761
10468.5,24840.566,71611.2864351104,,,,21017282,optimistic,10,50,50,0,3,6771.0,17193.998,64975.69196864011
1862.5,5213.078,27755.392022317774,1386.0,3854.15,44672.859603004144,4533614,optimistic,10,0,50,50,4,,,
,,,9145.5,19234.786,63358.54080641726,24106169,optimistic,10,50,0,50,4,10513.0,28977.552,82390.20814436287
10110.5,23430.402,68932.8633532116,,,,17270357,optimistic,10,50,50,0,4,5792.0,11110.312,22994.896186848593
1977.0,27686.27,141579.35597929568,2049.5,23524.594,123277.45768219889,25605432,optimistic,10,0,50,50,5,,,
,,,14964.5,58926.39,327323.2372346722,290519225,optimistic,10,50,0,50,5,23362.0,522112.06,1557644.0491187768
8957.0,89314.74,304169.0390297029,,,,225055008,optimistic,10,50,50,0,5,3921.0,360795.276,972368.449295986
1914.5,7243.88,31421.960103263165,1675.5,1992.97,1676.181518232476,4618425,optimistic,10,0,50,50,6,,,
,,,21692.0,47735.244,114753.06127887924,52304183,optimistic,10,50,0,50,6,6924.0,56873.122,273142.47348224535
17397.0,96016.128,351171.86103384703,,,,57752798,optimistic,10,50,50,0,6,8294.0,19489.468,42452.515286579786
2336.5,239578.004,579089.2318583281,1577.0,29417.484,180105.5881810941,134497744,optimistic,10,0,50,50,7,,,
,,,12077.0,20070.884,48107.15328256754,56759973,optimistic,10,50,0,50,7,21131.0,93449.062,292350.3764692866
11004.5,16504.9,17806.91664423545,,,,40329166,optimistic,10,50,50,0,7,14292.0,64153.432,223991.8115248988
2139.0,152633.828,469564.7092119861,1215.5,7946.826,84858.95726814582,80290327,optimistic,10,0,50,50,8,,,
,,,17694.5,29651.318,39423.213509196066,70753654,optimistic,10,50,0,50,8,24487.5,111855.99,289861.6264309719
10550.5,17101.72,21342.016327222293,,,,29790690,optimistic,10,50,50,0,8,10673.0,42479.66,166644.79589340047
4056.0,36074.186,143497.5571525624,2992.0,56550.268,186408.84743575027,46312227,optimistic,10,0,50,50,9,,,
,,,12564.5,30453.8,100580.78248744924,40314864,optimistic,10,50,0,50,9,15386.5,50175.928,177600.03380642386
11411.5,36830.592,278927.9395788614,,,,81231112,optimistic,10,50,50,0,9,8310.0,125631.632,543493.9656777293
1021.0,4697.96,12068.196329514009,842.5,5040.14,32214.80291216663,4869050,fine-grained,10,0,50,50,0,,,
,,,248970.5,2868860.188,4331873.4718075935,2962156039,fine-grained,10,50,0,50,0,453236.0,3055451.89,4240119.64201812
2003676.5,4271115.022,4991323.151940435,,,,4060794463,fine-grained,10,50,50,0,0,3196311.0,3850473.904,3678012.935654129
1300.0,6924.624,46677.67836748289,17242.0,24543.676,22726.49487196287,15734150,fine-grained,10,0,50,50,1,,,
,,,189906.5,2466228.722,3569735.6942657693,3100301793,fine-grained,10,50,0,50,1,2028447.5,3734374.864,4155109.5840049013
97678.5,2684026.316,4529945.285442282,,,,2697342390,fine-grained,10,50,50,0,1,511458.0,2710658.464,3636788.257907838
1679.0,461055.604,1414539.1400158615,6485.5,503344.432,1308169.1382757996,482200018,fine-grained,10,0,50,50,2,,,
,,,350428.0,2425061.788,3354155.0673106015,2471341555,fine-grained,10,50,0,50,2,437801.5,2517621.322,3488652.0166080156
96557.0,1474853.898,2296777.8850372727,,,,1408356217,fine-grained,10,50,50,0,2,80985.5,1341858.536,1962904.2361228566
794.0,1157732.062,3435356.1101133404,824.0,1251798.324,3038029.355983234,1204765193,fine-grained,10,0,50,50,3,,,
,,,6863304.5,6975842.332,6000589.167040295,7699950681,fine-grained,10,50,0,50,3,7789411.5,8424059.03,6626710.522088063
40428.0,1795849.73,3952965.252363182,,,,1861066353,fine-grained,10,50,50,0,3,57043.5,1926282.976,3215371.8281357707
1262.5,1621116.802,4419473.8308172,1208.5,1327578.224,3761105.1469636937,1474347513,fine-grained,10,0,50,50,4,,,
,,,3508498.0,4733647.796,4303910.631017576,4823931220,fine-grained,10,50,0,50,4,3380414.5,4914214.644,4875151.754059509
1911291.5,3344885.31,3832288.7422277783,,,,2827624310,fine-grained,10,50,50,0,4,536176.5,2310363.31,2769990.708596984
1089.5,10580.858,62900.63366705673,617.5,1761.25,6850.922905478767,6171054,fine-grained,10,0,50,50,5,,,
,,,66796.5,2455580.446,4005947.4080000487,2341989556,fine-grained,10,50,0,50,5,73877.5,2228398.666,3468243.7286603055
10705104.5,13116317.162,11146588.998084348,,,,9449210225,fine-grained,10,50,50,0,5,2069508.5,5782103.288,7689245.757208093
1442.5,31546.306,130605.5376789406,965.0,9266.446,93611.20170377012,20406376,fine-grained,10,0,50,50,6,,,
,,,4688691.5,6359445.726,6713590.169169363,6395829267,fine-grained,10,50,0,50,6,4091961.0,6432212.808,7690406.889209286
3761778.0,8718143.804,12493282.8964165,,,,6186970543,fine-grained,10,50,50,0,6,629741.5,3655797.282,7039579.327938593
1515.5,465203.606,1955722.1946306168,1163.5,39043.892,556357.732421937,252123749,fine-grained,10,0,50,50,7,,,
,,,5048978.0,6568263.81,5961884.606209235,6418752672,fine-grained,10,50,0,50,7,4270255.5,6269241.534,6495685.73884282
1199070.5,7261686.592,9388188.695651947,,,,6267817106,fine-grained,10,50,50,0,7,1184467.0,5273947.62,7939682.811956584
1526.5,59815.634,243885.70060315842,1091.5,2601.026,12515.870535758178,31208330,fine-grained,10,0,50,50,8,,,
,,,3296451.0,4365844.284,4127858.7227359726,4214928454,fine-grained,10,50,0,50,8,2580715.0,4064012.624,4171982.418848068
37884.5,1790185.472,3866210.223814506,,,,1886101501,fine-grained,10,50,50,0,8,81928.5,1982017.53,3676042.9095490915
1642.5,532983.082,1286649.412656851,1428.5,455572.368,991592.2160534583,494277725,fine-grained,10,0,50,50,9,,,
,,,7864725.5,8082972.428,6829543.208391574,8497527933,fine-grained,10,50,0,50,9,7972569.5,8912083.438,7303404.772496928
6831651.0,8284465.268,8107621.691832629,,,,8037005470,fine-grained,10,50,50,0,9,7238539.0,7789545.672,4883814.728295589
821.5,1371.576,2063.8950287268017,680.0,7729.08,151605.19705091673,4550328,monitor,10,0,50,50,0,,,
,,,3920.0,56735.158,266226.20215685526,43937400,monitor,10,50,0,50,0,3703.0,31139.642,154058.59777200618
7442.5,256199.102,972765.4548802462,,,,195788159,monitor,10,50,50,0,0,5048.5,135377.216,627582.5944185064
1128.0,1785.666,4320.9397569522325,747.0,2012.224,18523.960845798,1898945,monitor,10,0,50,50,1,,,
,,,4843.5,7405.03,19014.181315726288,7969878,monitor,10,50,0,50,1,3268.5,8534.726,53568.40151062687
3215.5,5364.718,14309.598618820148,,,,19264352,monitor,10,50,50,0,1,2695.0,33163.986,191662.3144930988
1005.5,1385.75,1533.4546232814737,987.5,1273.278,1225.1115039498325,1329514,monitor,10,0,50,50,2,,,
,,,2688.5,6016.264,35561.07343647281,5918798,monitor,10,50,0,50,2,2634.0,5821.332,21256.848142461746
5362.5,27517.176,131627.2778209065,,,,26015770,monitor,10,50,50,0,2,2716.0,24514.364,140795.39800569715
1254.5,7584.284,60116.809769356805,632.5,867.028,1090.2681433780085,4225656,monitor,10,0,50,50,3,,,
,,,2674.5,94480.404,430952.32704861683,113352552,monitor,10,50,0,50,3,4122.0,132224.7,468416.44331857143
2387.5,28041.934,184083.70126689077,,,,114191696,monitor,10,50,50,0,3,3042.0,200341.458,625995.9991557824
1200.5,31841.43,390337.22723806516,1284.5,12952.324,250256.36653777343,22396877,monitor,10,0,50,50,4,,,
,,,4934.0,10774.546,36764.703068831695,17126511,monitor,10,50,0,50,4,3693.0,23478.476,127029.31957213399
4349.5,8847.382,30542.16522930003,,,,10162515,monitor,10,50,50,0,4,3522.0,11477.648,47248.24605984395
1103.0,1429.538,1046.3036745202749,1099.0,1430.588,1529.212180844793,1430063,monitor,10,0,50,50,5,,,
